conv:people_2019072901_67:aug_0:chat_0:chataug_0| anthony chris| [person:anthony m 0-0][person:chris m 1-1]
melinda| My parent s are looking for Antiques that they can put in their home| [person:melinda f 0-0][person:melinda f 1-1][person:melinda f 8-8][person:melinda f 12-12][location:home s 13-13]
angela| hmmm okay I know a couple of stores they might like Are they looking for big or small items| [person:angela f 2-2][location:stores g() 7-7][person:angela f 8-8][person:angela f 12-12]
melinda| They are looking for more small items Specifically some lamps and mirrors And maybe a small end table for the spare bedroom| [person:melinda f 0-0][location:home s 21-21]
angela| Oh okay that narrows it down But here is a question are they usually on the same page about purchases or am I going to have to referee LOL| [person:angela f 12-12][person:angela f 22-22]
melinda| You might have to referee a little but you know my mom She usually gets what she wants lol| [person:melinda f 0-0][person:melinda f 8-8][person:melinda f 10-10][person:melinda f 11-11][person:melinda f 12-12][person:melinda f 16-16]
angela| Ha ha okay I can do that What time shall I pick them up| [person:angela f 3-3][person:angela f 10-10][person:angela f 12-12]
melinda| They would like to be picked up around 200pm Does that work for you| [person:melinda f 0-0][person:melinda f 13-13]
angela| Yep that s fine Let them know I will be there I gotta run Have a good evening| [person:angela f 5-5][person:angela f 7-7][location:home s 10-10][person:angela f 11-11]

conv:people_2019072902_13:aug_0:chat_0:chataug_0| brian rebecca| [person:brian m 0-0][person:rebecca f 1-1]
brian| hi there hi are you doing| [location:there s 1-1][person:rebecca f 4-4]
rebecca| Stuck at work B Could you please grab my books from Laura s| [location:work s 2-2][person:brian m 5-5][person:rebecca f 8-8][person:laura f 11-11]
brian| I certainly will| [person:brian m 0-0]
rebecca| Awesome Thanks You re the best I ll meet you whenever I can get out of the office| [person:brian m 2-2][person:rebecca f 6-6][person:brian m 9-9][person:rebecca f 11-11][location:office s 17-17]
rebecca| Drinks on me| [person:rebecca f 2-2]
brian| ok thank you| [person:rebecca f 2-2]
brian| You have a good day| [person:rebecca f 0-0]
rebecca| Of Course THanks for your help| [person:brian m 4-4]

conv:people_2019072902_15:aug_0:chat_0:chataug_0| carol joe| [person:carol f 0-0][person:joe m 1-1]
joe| Hey Carol Watched and tv shows lately| [person:carol f 1-1]
carol| Hi Joe Yes I saw a couple movies recently with Henry and Kelly| [person:joe m 1-1][person:carol f 3-3][person:henry m 10-10][person:kelly f 12-12]
carol| The Avengers and Detective Pikachu|
joe| Were they good| [person:they g() 1-1]
joe| Do you know what Henry and Kelly thought about them| [person:carol f 1-1][person:henry m 4-4][person:kelly f 6-6][person:them g() 9-9]
carol| They were great Henry and Kelly especially liked Avengers They said it was one of the best they have ever seen| [person:they g() 0-0][person:henry m 3-3][person:kelly f 5-5][person:they g() 9-9][person:they g() 17-17]
joe| That Great Which did you prefer| [person:carol f 4-4]
carol| I liked Detective Pikachu I thought the character was so cute| [person:carol f 0-0][person:carol f 4-4]
joe| Maybe I ll go see it Thanks bye| [person:joe m 1-1]

conv:people_2019072902_17:aug_0:chat_0:chataug_0| malcolm roger| [person:malcolm m 0-0][person:roger m 1-1]
malcolm| Can t wait to get away|
roger| Hey Malcolm Are you ready to plan for our trip| [person:malcolm m 1-1][person:malcolm m 3-3][person:our g(malcolm:roger) 8-8][location:trip g() 9-9]
roger| Same here| [location:here g() 1-1]
malcolm| Yeah I think Shane found a good hotel| [person:malcolm m 1-1][person:shane m 3-3][location:hotel s 7-7]
roger| Sweet Paul told me he had found some decent prices for plane tickets too| [person:paul m 1-1][person:roger m 3-3][person:paul m 4-4]
malcolm| That s awesome I hope that Paul can get off of work that week| [person:malcolm m 3-3][person:paul m 6-6]
roger| He d better I ve been looking forward to this trip for weeks I even have some tourist destinations in mind What about you Also did Ivan find out if he could bring his dog along| [person:paul m 0-0][person:roger m 3-3][location:trip g() 10-10][person:roger m 13-13][person:malcolm m 23-23][person:ivan m 26-26][person:ivan m 30-30][person:ivan m 33-33]
malcolm| Yeah Ivan has one of those emotional support animal letters so its cool| [person:ivan m 1-1][person:those g(shane:paul:ivan) 5-5]
roger| Awesome Cool then I think we should be set for the most part I ll have to remind everyone to make sure that they have all of their paperwork ready IDs Passports and all of that| [person:roger m 3-3][person:we g(roger:shane:paul:ivan) 5-5][person:roger m 13-13][person:everyone g(malcolm:shane:paul:ivan) 18-18][person:they g(shane:paul:ivan) 23-23]
malcolm| I also got some free tickets for that music festival we were talking about going to| [person:malcolm m 0-0][person:we g(roger:shane:paul:ivan:malcolm) 10-10]
roger| Awesome Great job I know that Paul will be excited to hear that| [person:roger m 3-3][person:paul m 6-6]
malcolm| Cool can t wait can t wait to go|
malcolm| Catch you later| [person:roger m 1-1]
roger| Same here Talk you soon Have a good night| [location:here s 1-1][person:malcolm m 3-3]

conv:people_2019072902_27:aug_0:chat_0:chataug_0| caroline samantha| [person:caroline f 0-0][person:samantha f 1-1]
samantha| Ready for our trip| [person:our g(samantha:caroline) 2-2]
caroline| yes of course|
samantha| Where do you think we should go with Barbara Emily and Alice| [person:caroline f 2-2][person:we g(samantha:caroline) 4-4][person:barbara f 8-8][person:emily f 9-9][person:alice f 11-11]
caroline| i think we all should go to miami| [person:caroline f 0-0][person:we g(samantha:caroline:barbara:emily:alice) 2-2][location:miami s 7-7]
samantha| That sounds fun What are the ticket prices like|
caroline| it seems that they are around 200 roundtrip|
samantha| I saw a deal for Cancun for 499 all inclusive| [person:samantha f 0-0]
caroline| oh wow that sounds fun|
samantha| I like Miami though| [person:samantha f 0-0][location:miami s 2-2]
caroline| what do you think barbara emily and alice would like| [person:samantha f 2-2][person:barbara f 4-4][person:emily f 5-5][person:alice f 7-7]
samantha| I think Barbara Emily and Alice like to go out at night and the beach so both could be good| [person:samantha f 0-0][person:barbara f 2-2][person:emily f 3-3][person:alice f 5-5][location:beach s 14-14]
caroline| ok lets go with Cancun i think it would be a fun trip| [person:caroline f 5-5]
samantha| Awesome Caroline let s book it then| [person:caroline f 1-1]
caroline| great|

conv:people_2019072902_30:aug_0:chat_0:chataug_0| caroline samantha| [person:caroline f 0-0][person:samantha f 1-1]
samantha| Hello there|
caroline| hi how are you ready for the christmas party| [person:samantha f 3-3]
samantha| Heck yeah You| [person:caroline f 2-2]
caroline| yes did you invite barbara emily and alice any idea or choice besides las vegas or miami| [person:samantha f 2-2][person:barbara f 4-4][person:emily f 5-5][person:alice f 7-7]
samantha| Yes i invited them both| [person:samantha f 1-1][person:them g(barbara:emily:alice) 3-3]
samantha| Im thinking vegas baby|
caroline| perfect with prices being so low i think that we shall go to Las Vegas as well Lets get wild| [person:caroline f 6-6][person:we g(samantha:caroline) 9-9]
samantha| It s a date|
caroline| perfect|

conv:people_2019072902_36:aug_0:chat_0:chataug_0| malcolm roger| [person:malcolm m 0-0][person:roger m 1-1]
roger| Hi Malcolm| [person:malcolm m 1-1]
malcolm| Hey Rog Thanks for getting in touch We should figure out how we re going to split the driving with Shane Paul and Ivan| [person:we g(roger:malcolm) 7-7][person:we g(roger:malcolm) 12-12][person:shane m 20-20][person:paul m 21-21][person:ivan m 23-23]
roger| Yes That sounds great we will all get a turn and be able to rest some| [person:we g(roger:malcolm) 4-4]
malcolm| Cool maybe we pick two people and they can do the day s shift How much do you think everyone should pitch in monetarily It s going to be a week long trip| [person:we g(roger:malcolm) 2-2][person:they g() 7-7][person:roger m 17-17][person:everyone g(shane:paul:ivan) 19-19][location:trip s 32-32]
roger| Well I think 200 00 each plus we all can take extra for the little things we want| [person:roger m 1-1][person:we g(roger:malcolm) 7-7][person:we g(roger:malcolm) 16-16]
malcolm| Good call good call I ll check out some airbnb listing tomorrow and see what I can find| [person:malcolm m 4-4][person:malcolm m 15-15]
roger| I will research a few outings also and get back to you about what I find Talk later on| [person:roger m 0-0][person:malcolm m 11-11][person:roger m 14-14]
malcolm| Great Talk to you soon| [person:roger m 3-3]

conv:people_2019072902_39:aug_0:chat_0:chataug_0| chris mark| [person:chris m 0-0][person:mark m 1-1]
chris| Hey|
mark| Hey Chris what would you like to go to a movie tonight| [person:chris m 1-1][person:chris m 4-4]
chris| Hey Mark I would what do you want to see| [person:mark m 1-1][person:chris m 2-2][person:mark m 6-6]
chris| Should we invite others| [person:we g(chris:mark) 1-1][person:others g() 3-3]
mark| I think we should go see that new one Thor it seemed like a great action movie I think it would be great to have the others go with| [person:mark m 0-0][person:we g(chris:mark) 2-2][person:mark m 17-17][person:others g() 26-26]
mark| Ill Call and find out who wants to go Should i drive the van or would you like to take us| [person:mark m 10-10][person:chris m 16-16][person:us g(chris:mark) 20-20]
chris| Wow Tom wanted to see thaat| [person:tom m 1-1]
chris| I can take everyone Thanks for calling it should be fun Tell everyone to meet at your house who agrees I pick you aup around 8| [person:chris m 0-0][person:everyone g() 3-3][person:everyone g() 12-12][person:mark m 16-16][person:chris m 20-20][person:mark m 22-22]
chris| up|
mark| Sounds great thanks for driving us| [person:us g(chris:mark) 5-5]
mark| Ill bring extra money for drinks and food See you at 8| [person:chris m 9-9]
chris| No problem See you then| [person:mark m 3-3]
chris| Bye|
mark| Bye|

conv:people_2019072902_40:aug_0:chat_0:chataug_0| brian rebecca| [person:brian m 0-0][person:rebecca f 1-1]
brian| Hi Rebecca your message said you needed to talk to me what s up| [person:rebecca f 1-1][person:rebecca f 2-2][person:rebecca f 5-5][person:brian m 10-10]
rebecca| Hey Brian how s your day going so far| [person:brian m 1-1][person:brian m 4-4]
brian| Pretty good I got off work early so I m just hanging out What abut you| [person:brian m 2-2][location:work u 5-5][person:brian m 8-8][person:rebecca f 15-15]
rebecca| I m still at work currently but i wanted to know if you can do me a small favor| [person:rebecca f 0-0][location:work u 4-4][person:rebecca f 7-7][person:brian m 12-12][person:rebecca f 15-15]
brian| Probably what is it|
rebecca| I was going to pick up some of my books from Laura s house but i got stuck at work and was wondering if you would be able to stop by her house and get them for me| [person:rebecca f 0-0][person:rebecca f 8-8][person:laura f 11-11][person:rebecca f 15-15][person:brian m 24-24][person:laura f 31-31][person:them g() 35-35][person:rebecca f 37-37]
brian| Sure I could do that does she still live in he same place| [person:brian m 1-1][person:laura f 6-6][person:brian m 10-10][location:laura_s_house s 12-12]
rebecca| Yes she does and your are the best Thank you so much| [person:laura f 1-1][person:brian m 4-4][person:brian m 9-9]
brian| So will you come pick them up here tonight or do you want me to bring them to work tomorrow| [person:rebecca f 2-2][person:them g() 5-5][location:here u 7-7][person:rebecca f 11-11][person:brian m 13-13][person:them g() 16-16][location:work s 18-18]
rebecca| I ll try for tonight if i get off at a decent time but in case I don t would like for you to bring them to work for me| [person:rebecca f 0-0][person:rebecca f 6-6][person:rebecca f 16-16][person:brian m 22-22][person:them g() 25-25][location:work s 27-27][person:rebecca f 29-29]
brian| Okay no problem if you are not here by 9 I ll just bring them to work so see then or then I m on may way now bye| [person:rebecca f 4-4][location:here u 7-7][person:brian m 10-10][person:them g() 14-14][location:work s 16-16][person:brian m 22-22]

conv:people_2019072902_46:aug_0:chat_0:chataug_0| chris samantha| [person:chris m 0-0][person:samantha f 1-1]
samantha| hello|
chris| Hey Samantha| [person:samantha f 1-1]
samantha| Hi Chris| [person:chris m 1-1]
samantha| What do you think we need to take| [person:chris m 2-2][person:we g(samantha:chris) 4-4]
chris| We probably need to bring food We can split the cost with Monica Robert and Kevin| [person:we g(samantha:chris) 0-0][person:we g(samantha:chris) 6-6][person:monica f 12-12][person:robert m 13-13][person:kevin m 15-15]
samantha| That sounds good|
samantha| I ll get some easy to carry snack foods| [person:samantha f 0-0]
chris| Maybe Robert could bring drinks| [person:robert m 1-1]
samantha| What do you want to bring| [person:chris m 2-2]
chris| I made some matching shirts for us to wear| [person:chris m 0-0][person:we g(samantha:chris) 6-6]
samantha| Wow youre really going above and beyond That s great| [person:chris m 1-1]
samantha| What do they look like|
chris| They have our names on the back| [person:we g(samantha:chris) 2-2]
samantha| Oh cool|
chris| They re orange|
samantha| All of them are orange We ll be standouts for sure lol| [person:we g(samantha:chris) 5-5]

conv:people_2019072902_49:aug_0:chat_0:chataug_0| brian rebecca| [person:brian m 0-0][person:rebecca f 1-1]
rebecca| Hey Brian how are you doing| [person:brian m 1-1][person:brian m 4-4]
rebecca| I hope this won t bother you but I need to ask you a favor| [person:rebecca f 0-0][person:brian m 6-6][person:rebecca f 8-8][person:brian m 12-12]
rebecca| I am kind of busy today at work| [person:rebecca f 0-0]
rebecca| So I wanted to know if you could pick some books at Laura s for me| [person:rebecca f 1-1][person:brian m 6-6][person:laura f 12-12][person:rebecca f 15-15]
brian| Sure I could Where does she live| [person:brian m 1-1][person:laura f 5-5]
rebecca| Glad to know she lives at 900 Main St Club Cortile 75| [person:laura f 3-3][location:900_main_st__club_cortile_75 s 9-9]
brian| Is that the big blue house|
rebecca| Yes that is the one She should be at home all day She is off today| [person:laura f 5-5][location:900_main_st__club_cortile_75 s 9-9][person:laura f 12-12]
brian| Ok shoot her a text that I will be swinging by to pick them up| [person:laura f 2-2][person:brian m 6-6][person:them g() 13-13]
rebecca| Sure I already let her know that you are on your way| [person:rebecca f 1-1][person:laura f 4-4][person:brian m 7-7][person:brian m 10-10]
brian| Ok cool I will see you after| [person:brian m 2-2][person:rebecca f 5-5]

conv:people_2019072902_54:aug_0:chat_0:chataug_0| gabriel tim| [person:gabriel m 0-0][person:tim m 1-1]
gabriel| Hey Tim can t wait for this poker night right| [person:tim m 1-1]
tim| yeah should we invite Thomas| [person:gabriel_and_tim g(gabriel:tim) 2-2][person:thomas m 4-4]
gabriel| So I only have room for like two people at the house and I know Thomas Charles and Brian wants to go| [person:gabriel m 1-1][person:gabriel m 13-13][person:thomas m 15-15][person:charles m 16-16][person:brian m 18-18]
gabriel| Yeah I like Thomas he s a good guy| [person:gabriel m 1-1][person:thomas m 3-3][person:thomas m 4-4]
gabriel| Alright so one more person|
tim| hmm so we don t mention it to Charles and Brian| [person:gabriel_and_tim g(gabriel:tim) 2-2][person:charles m 8-8][person:brian m 10-10]
tim| will they be mad at us| [person:charles_and_brian g(charles:brian) 1-1][person:gabriel_and_tim g(gabriel:tim) 5-5]
gabriel| I think they will but it doesn t matter My house my rules| [person:gabriel m 0-0][person:charles_and_brian g(charles:brian) 2-2][person:gabriel m 9-9][person:gabriel m 11-11]
gabriel| So it s decided Thomas it is| [person:thomas m 4-4]
tim| They re big boys They can handle it lol| [person:charles_and_brian g(charles:brian) 0-0][person:charles_and_brian g(charles:brian) 3-3][person:charles_and_brian g(charles:brian) 4-4]
tim| yes|
gabriel| Yup|
tim| I ll bring Blue moon| [person:tim m 0-0]
gabriel| Cool I ll get the Pabst Blue| [person:gabriel m 1-1]
gabriel| ttyl|
tim| see ya|

conv:people_2019072902_62:aug_0:chat_0:chataug_0| andrew josh| [person:andrew m 0-0][person:josh m 1-1]
andrew| can anyone leave work early to meet the handyman at home| [person:anyone g(andrew:josh) 1-1][location:work s 3-3][location:home s 10-10]
josh| I don t think kevin and jason have signal in the warehouse 3hat time will he be there| [person:josh m 0-0][person:kevin m 4-4][person:jason m 6-6][location:warehouse s 11-11][person:handyman m 15-15][location:home s 17-17]
andrew| I was only told that it would be sometime in the afternoon| [person:andrew m 0-0]
andrew| I sent an email to my boss to see if I could leave around noon and have not heard back yet| [person:andrew m 0-0][person:andrew m 5-5][person:andrew m 10-10]
andrew| can you check with yours| [person:josh m 1-1][person:josh m 4-4]
josh| Ok Do you know whenbyour boss will get back to you| [person:andrew m 2-2][person:andrew m 10-10]
josh| i can leave here at 2| [person:josh m 0-0][location:work s 3-3]
josh| My job is only 5 minutes away| [person:josh m 0-0][location:work s 1-1]

conv:people_2019072903_3:aug_0:chat_0:chataug_0| jack ronald| [person:jack m 0-0][person:ronald m 1-1]
jack| Hello|
ronald| Hello How are you today| [person:ronald m 3-3]
jack| any plans for this week|
ronald| Well the game is coming up on Thursday Patrick and Steve want to go too| [location:the_game s 1-2][person:ronald m 8-8][person:ronald m 10-10]
jack| awesome they can tag along what game do you want to go see| [person:jack m 1-1][location:the_game s 6-6][person:jack m 8-8]
ronald| It will be great weather for baseball|
jack| which game have you decided on| [location:the_game s 1-1][person:jack m 3-3]
ronald| It will be the Sharks vs the Buffalos| [location:it s 0-0]
jack| so you will pick me up after the guys| [person:jack m 1-1][person:jack m 4-4]
ronald| Patrick and Steve are free that night You re free to go Thursday too right| [person:ronald m 0-0][person:ronald m 2-2][person:ronald m 7-7]
ronald| Yeah I can pick them up But I have to get up early the next morning for work Would you mind giving them a ride home after| [person:ronald m 1-1][person:ronald m 4-4][person:ronald m 7-7][person:ronald m 19-19][person:ronald m 22-22][location:home s 25-25]
jack| Sure pick me up last because i have some errands to run before i leave| [person:jack m 2-2][person:jack m 6-6][person:jack m 13-13]
jack| No problem ill drop them off| [person:jack m 4-4]
ronald| Awesome Can t wait|
jack| See you then| [person:jack m 1-1]
ronald| I ll text you on Wednesday to double check everything with you Have a great day| [person:ronald m 0-0][person:ronald m 3-3][person:ronald m 11-11]

conv:people_2019072903_8:aug_0:chat_0:chataug_0| george tim| [person:george m 0-0][person:tim m 1-1]
george| Hello|
tim| Hey how s it going|
george| Good|
george| How are you| [person:tim m 2-2]
tim| I m doing good have Jeff and Matt decided where we re all going for our summer trip| [person:tim m 0-0][person:jeff m 5-5][person:matt m 7-7][person:we g(george:tim:jeff:matt) 10-10][person:we g(george:tim:jeff:matt) 15-15][location:trip s 17-17]
george| No i have not heard from them| [person:george m 1-1][person:them g(jeff:matt) 6-6]
george| Do you know of any locations they had in mind| [person:tim m 1-1][person:them g(jeff:matt) 6-6]
tim| Matt was talking about the Grand Canyon or maybe hiking in Utah| [person:matt m 0-0][location:grand_canyon s 5-6][location:utah s 11-11]
george| I like to hike so they both sound like fun to me| [person:george m 0-0][person:them g(jeff:matt) 5-5][person:them g(jeff:matt) 6-6][person:george m 11-11]
tim| Sweet Jeff said he could book the tickets on his credit card because he gets bonus air miles| [person:jeff m 1-1][person:jeff m 3-3][person:jeff m 9-9][person:jeff m 13-13]
george| Sweet|
george| When do you think is a good time for us to go| [person:tim m 2-2][person:us g(george:tim) 9-9]
george| Mid summer seems ideal|
tim| That sounds sounds perfect to me| [person:tim m 5-5]
george| There may be alot of day light for hiking around that time of year|
tim| Oh definitely|
george| Sound good to me| [person:george m 3-3]
tim| Awesome we ll talk more about it once we hear back from Jeff and Matt| [person:we g(george:tim) 1-1][location:trip s 6-6][person:we g(george:tim) 8-8][person:jeff m 12-12][person:matt m 14-14]

conv:people_2019072903_16:aug_0:chat_0:chataug_0| barry emma| [person:barry m 0-0][person:emma f 1-1]
barry| Hi do you know what we should bring for the dinner| [person:emma f 2-2][person:we g(barry:emma) 5-5][location:dinner s 10-10]
emma| Hey Barry what are you bringing to the Johnson s later| [person:barry m 1-1][person:barry m 4-4][person:johnson m 8-8]
emma| I honestly don t want to bring anything at all but they invited us for dinner so I guess we have to I think I will bring some Pepsi| [person:emma f 0-0][person:they g() 11-11][person:we g(barry:emma) 13-13][person:emma f 17-17][person:we g(barry:emma) 19-19][person:emma f 22-22][person:emma f 24-24]
barry| That is a great idea May be I can bring in some wine| [person:barry m 7-7]
barry| So what kind of gift do you want to bring| [person:emma f 6-6]
emma| It s not their birthday I m not bringing a gift The pepsi should be enough Maybe I ll get a babka for dessert but I assume they ve made something| [location:dinner s 0-0][person:their g() 3-3][person:emma f 5-5][person:emma f 17-17][person:emma f 25-25][person:they g() 27-27]
emma| Any idea what they re cooking I m really in the mood for seafood but I obviously can t tell them what to make at their own dinner party| [person:they g() 3-3][person:emma f 6-6][person:emma f 15-15][person:they g() 20-20][person:their g() 25-25][location:dinner s 27-27][location:dinner s 28-28]
barry| I am not sure But I heard that recently they go out for fishing I think they may cook something they got when they are out of sea| [person:barry m 0-0][person:barry m 5-5][person:they g() 9-9][person:barry m 14-14][person:they g() 16-16][person:they g() 20-20][person:they g() 23-23]
barry| I am thinking to bring a book of how to fish for them| [person:barry m 0-0][person:they g() 12-12]

conv:people_2019072903_29:aug_0:chat_0:chataug_0| stephanie william| [person:stephanie f 0-0][person:william m 1-1]
william| Hey Stephanie| [person:stephanie f 1-1]
stephanie| Hi|
stephanie| Hi William| [person:william m 1-1]
william| What are you planning to take next weekend| [person:stephanie f 2-2]
stephanie| I guess I ll bring the pie Like I always do eye roll| [person:stephanie f 0-0][person:stephanie f 2-2][person:stephanie f 8-8]
stephanie| Do you want to eat my pie next weekend| [person:william m 1-1][person:stephanie f 5-5]
william| I wonder if there is anything special they would want us to bring| [person:william m 0-0][person:they g() 7-7][person:us g(william:stephanie) 10-10]
stephanie| You could bring the sausage rihgt| [person:william m 0-0]
william| Yes that and maybe some wine I will call and ask them| [person:william m 6-6][person:them g() 11-11]
stephanie| Great|
william| It should be a fun time I will also ask if they know what everyone else I bring in so we don t duplicate| [person:william m 6-6][person:they g() 11-11][person:everyone g(william:stephanie) 14-14][person:william m 16-16][person:we g(william:stephanie) 20-20]
stephanie| You sure are worried about food William| [person:william m 0-0][person:william m 6-6]
william| Yes I love food and picnics Also wine| [person:william m 1-1]
stephanie| Ok goodbye|

conv:people_2019072903_35:aug_0:chat_0:chataug_0| eric lauren| [person:eric m 0-0][person:lauren f 1-1]
lauren| Hey it s Lauren we want to know how we can all get together| [person:lauren f 3-3][person:we g(lauren:eric) 4-4][person:we g(lauren:eric) 9-9]
lauren| It s Shirley why don t I reach out to Anna and see when she is free| [person:shirley f 2-2][person:lauren f 6-6][person:anna f 10-10][person:anna f 14-14]
eric| Yeah we don t know our way around Seattle so we need coordinate| [person:we g(lauren:eric) 1-1][person:our g(lauren:eric:shirley:anna) 5-5][location:seattle g() 7-8][location:seattle s 8-8][person:we g(lauren:eric) 10-10]
eric| There s also 5 of us| [person:us g(lauren:eric:shirley:anna) 5-5]
lauren| Good point Eric we need a solid plan to not get lost and arrange a visit| [person:eric m 2-2][person:we g(lauren:eric) 3-3]
eric| Maybe we could form a group chat with all 5 of us in it That d be convenient| [person:we g(lauren:eric) 1-1][person:us g(lauren:eric:shirley:anna) 11-11][location:it_ s 13-13]
