conv:people_2019090101_269:aug_0:chat_0:chataug_0| april julia| [person:april f 0-0][person:julia f 1-1]
meredith| Hmm so you want to make a bet How about a hundred bucks| [person:alice f 2-2]
alice| You are on I need to get a new purse I will use your money to buy it| [person:meredith f 0-0][person:alice f 3-3][person:alice f 10-10][person:alice f 13-13][location:it s 17-17]

conv:people_2019090101_271:aug_0:chat_0:chataug_0| brittany rose| [person:brittany f 0-0][person:rose f 1-1]
rose| Hi Brittany how are you| [person:brittany f 1-1][person:brittany f 4-4]
brittany| I m good| [person:brittany f 0-0]
rose| Great I feel jealous when I see you having so much fun Can I join you in your next game of touch football| [person:rose f 1-1][person:rose f 5-5][person:brittany f 7-7][person:rose f 13-13][person:brittany f 15-15][person:brittany f 17-17]
brittany| Sure you can| [person:rose f 1-1]
rose| Oh and I d like to bring Caroline too but she s worried about her skill level| [person:rose f 2-2][person:caroline f 7-7][person:caroline f 10-10][person:caroline f 14-14]
brittany| Oof Sharon and Melinda are still learning too| [person:sharon f 1-1][person:melinda f 3-3]
rose| Oh they are well maybe they d make a good match then| [person:they g(sharon:melinda) 1-1][person:they g(sharon:melinda) 5-5]
brittany| Oh of course They ll get better It s all about having a good time| [person:they g(sharon:melinda) 3-3]
rose| Okay can we meet this week| [person:we g(rose:brittany:caroline:sharon:melinda) 2-2]
brittany| Sure it ll be so much fun Just make sure they have the right gear okay| [person:they g(sharon:melinda) 10-10]
rose| Okay I ll see you this week| [person:rose f 1-1][person:brittany f 4-4]
brittany| Okay that sounds good I ll drive then| [person:brittany f 4-4]

conv:people_2019090101_274:aug_0:chat_0:chataug_0| angela ann| [person:angela f 0-0][person:ann f 1-1]
angela| Hello Ann| [person:ann f 1-1]
ann| Hello Angela| [person:angela f 1-1]
angela| I was writing to you to go over the long trip we are going to have with our pals from work Garry Frances and Kate| [person:angela f 0-0][person:ann f 4-4][person:we g(angela:ann) 11-11][person:our g(angela:ann) 17-17][person:garry m 21-21][person:frances f 22-22][person:kate f 24-24]
ann| Yeah I am so excited| [person:ann f 1-1]
angela| Well we need to figure out what to bring| [person:we g(angela:ann) 1-1]
ann| We can agree on what I will bring and what will you bring| [person:we g(angela:ann) 0-0][person:ann f 5-5][person:angela f 11-11]
angela| Nice So I was thinking maybe I will deal with alcohol since I know what everyone drinks and I would enjoy shopping for that| [person:angela f 2-2][person:angela f 6-6][person:angela f 12-12][person:everyone g() 15-15][person:angela f 18-18]
ann| Sure I am actually glad you said that since I do not know much about alcohol| [person:ann f 1-1][person:angela f 5-5][person:ann f 9-9]
angela| That is why you can deal with bringing the food that we are going to need| [person:ann f 3-3][person:we g(angela:ann) 11-11]
ann| Totally I would really enjoy shopping for the food since I do not trust anyone with this task| [person:ann f 1-1][person:ann f 10-10][person:anyone u 14-14]
angela| That is great we fit so perfectly| [person:we g(angela:ann) 3-3]
ann| Of course We have always understood each other| [person:we g(angela:ann) 2-2]
angela| Alright can wait for all of us to come up together| [person:us g(angela:ann:garry:frances:kate) 6-6]
ann| It will be an adventure and it will be fun| [location:trip s 0-0][location:trip s 6-6]
angela| I agree Catch to you later then Ann| [person:angela f 0-0][person:ann f 4-4][person:ann f 7-7]
ann| Later Angela| [person:angela f 1-1]

conv:people_2019090101_275:aug_0:chat_0:chataug_0| lucy samantha| [person:lucy f 0-0][person:samantha f 1-1]
samantha| Lucy what about our party arrangements| [person:lucy f 0-0][person:our g(samantha:lucy) 3-3]
lucy| I was about to ask you that Have you planned anything| [person:lucy f 0-0][person:samantha f 5-5][person:samantha f 8-8]
samantha| Not dear I think we can arrive at a decision after cunsulting with Kim Jen and Joyce| [person:samantha f 2-2][person:we g(samantha:lucy) 4-4][person:kim f 13-13][person:jen f 14-14][person:joyce f 16-16]
lucy| Thats a good idea Can we plan it now rougly| [person:we g(samantha:lucy) 5-5][location:it s 7-7]
samantha| Fine I think we can assign Jen and Joyce to buy things| [person:samantha f 1-1][person:we g(samantha:lucy) 3-3][person:jen f 6-6][person:joyce f 8-8]
lucy| Fine Kim and I will go to receive the guests| [person:kim f 1-1][person:lucy f 3-3]
samantha| I shall take care of arranging food| [person:samantha f 0-0]
lucy| What should be the items|
samantha| There must be pizza ice scream burgar and barbeques| [location:there s 0-0]
lucy| Fine liquors needed|
samantha| I think there should be some guests are fond of that| [person:samantha f 0-0][location:there s 2-2]

conv:people_2019090101_277:aug_0:chat_0:chataug_0| joseph ryan| [person:joseph m 0-0][person:ryan m 1-1]
ryan| Hey buddy I m going to be in your area with a couple of guys from my work Harold and Walt We wanted to get a couple drinks and I was hoping they could meet you| [person:joseph m 1-1][person:ryan m 2-2][person:joseph m 8-8][person:ryan m 16-16][person:harold m 18-18][person:walt m 20-20][person:we g(ryan:joseph) 21-21][person:ryan m 29-29]
joseph| That would be great but I don t get off for at least a couple more hours| [person:joseph m 5-5]
ryan| No sweat us either but we were hoping you could suggest a nice pub I ve never really been over that way| [person:us g(ryan:joseph) 2-2][person:we g(ryan:joseph) 5-5][person:joseph m 8-8][person:ryan m 14-14]
joseph| Well you know me I ve probably tried them all and I couldn t really call any one the best it depends on what you re looking for| [person:ryan m 1-1][person:joseph m 3-3][person:ryan m 4-4][person:them g(harold:walt) 8-8][person:joseph m 11-11][person:ryan m 24-24]
ryan| I am not sure what you mean by looking for so suggest a couple| [person:ryan m 0-0][person:joseph m 5-5]
joseph| Well if you want ambiance you want to go to O Malley s but the drinks are pretty pricey and the people kind of snobby If you want local flavor you would go the The Hole which is cheap crowded smelly but the people are friendly and interesting| [person:ryan m 2-2][person:ryan m 5-5][person:ryan m 26-26][person:ryan m 30-30]
ryan| Okay I see what you mean but pricey and smelly are not what we are looking for| [person:ryan m 1-1][person:joseph m 4-4][person:we g(ryan:joseph) 13-13]
joseph| If you want good food with your drinks then Joe and John s is the place to go you can eat at a table or the bar they have full meals or reasonable snacks and the people are nice| [person:ryan m 1-1][person:ryan m 6-6][person:joe m 9-9][person:john m 11-11][location:place s 15-15][person:ryan m 18-18][person:they g(joe:john) 27-27]
ryan| Well you may not have a best place but were do you go most often| [person:joseph m 1-1][location:place s 7-7][person:joseph m 11-11]
joseph| Shawnees they have a great juke box selection the bartender is cute the prices are right there are several games like pool and shuffleboard and they offer a limited but reasonable priced menu They also have the best happy hour deals and I have credit there| [person:they g(joe:john) 1-1][location:there s 16-16][person:they g(joe:john) 25-25][person:they g(joe:john) 33-33][person:joseph m 42-42][location:there s 45-45]
ryan| That will be the one We will probably head over there in an hour or so and meet you there sound good| [person:we g(ryan:joseph) 5-5][location:there s 10-10][person:joseph m 18-18][location:there s 19-19]
joseph| Sounds great see you then| [person:ryan m 3-3]

conv:people_2019090101_280:aug_0:chat_0:chataug_0| larry thomas| [person:larry m 0-0][person:thomas m 1-1]
thomas| Who do you think we should invite to our coffee meeting| [person:thomas m 2-2][person:we g(thomas:larry) 4-4][person:our g(thomas:larry) 8-8]
larry| What about Josh He s a real coffee lover| [person:josh m 2-2][person:larry m 3-3]
thomas| No way I think he s too conceited Shawn would be great though| [person:thomas m 2-2][person:thomas m 4-4][person:shawn m 8-8]
larry| Yeah he s pretty fun I think we need to invite Nick as well| [person:larry m 1-1][person:larry m 5-5][person:we g(thomas:larry) 7-7][person:nick m 11-11]
thomas| OK we can do that| [person:we g(thomas:larry:josh:shawn:nick) 1-1]
thomas| What about Keith I haven t thought of him in quite a while| [person:keith m 2-2][person:thomas m 3-3][person:thomas m 8-8]
larry| I like him but I don t think he d be too fun He s still depressed after his divorce| [person:larry m 0-0][person:larry m 2-2][person:larry m 4-4][person:larry m 8-8][person:larry m 13-13][person:larry m 18-18]
thomas| All right That s a good point Do you think we should go to the Eagle Cafe| [person:larry m 8-8][person:we g(thomas:larry:josh:shawn:nick) 10-10][location:cafe s 16-16]
larry| I like that place but I know Nick has issues with it| [person:larry m 0-0][person:larry m 5-5][person:nick m 7-7]
larry| Maybe the Drive Tavern instead| [location:tavern s 3-3]
thomas| Yeah that s a pretty decent place I m not too sure that Shawn likes it though| [person:thomas m 7-7][person:shawn m 13-13]
thomas| I know where we all liked last time The Tempeting Temptress That was a great place| [person:thomas m 0-0][person:we g(thomas:larry:josh:shawn:nick) 3-3]
larry| All right Let s go with that then|
thomas| Sounds good|

conv:people_2019090101_281:aug_0:chat_0:chataug_0| mike tony| [person:mike m 0-0][person:tony m 1-1]
mike| Hey Tony how s it going| [person:tony m 1-1]
tony| What s up Mike I m good how are you| [person:mike m 3-3][person:tony m 4-4][person:mike m 9-9]
mike| Great I was wondering if you wanted to catch the playoff game| [person:mike m 1-1][person:tony m 5-5]
tony| Yeah sure|
tony| Do you think we should invite Carlos and Gabriel too| [person:mike m 1-1][person:mike___tony g(mike:tony) 3-3][person:carlos m 6-6][person:gabriel m 8-8]
mike| Of course|
mike| Where do you think we should watch it| [person:tony m 2-2][person:mike___tony g(mike:tony) 4-4]
tony| I was thinking maybe somewhere close to where we live| [person:tony m 0-0][person:mike___tony g(mike:tony) 8-8][location:live g() 9-9]
mike| I was thinking somewhere with great food too| [person:mike m 0-0]
tony| How about the Buffalo Wild Wings on 3rd st| [location:buffalo_wild_wings s 3-5]
mike| Yeah I think that sounds like a good idea I ll tell the guys| [person:mike m 1-1][person:mike m 9-9]
tony| Sounds great Looking forward to seeing you guys| [person:mike m 6-6]
mike| Same here bro can t wait|

conv:people_2019090101_284:aug_0:chat_0:chataug_0| judy marilyn| [person:judy f 0-0][person:marilyn f 1-1]
marilyn| Judy I have planned to visit Los Angeles with our Friends Eva and Christina| [person:judy f 0-0][person:marilyn f 1-1][location:los_angeles s 6-7][person:our g(marilyn:judy) 9-9][person:friends g() 10-10][person:eva f 11-11][person:christina f 13-13]
judy| That s a great news When are you going to visit| [person:judy f 7-7]
marilyn| Still we have not planned the date Once planned I will let you know| [person:our g(marilyn:judy) 1-1][person:marilyn f 9-9][person:judy f 12-12]
judy| Okay Do you have planned the places that you like to visit| [person:marilyn f 2-2][location:places s 6-6][person:marilyn f 8-8]
marilyn| For that I need your help as you are from Los Angeles| [person:marilyn f 2-2][person:judy f 4-4][person:judy f 7-7][location:los_angeles s 10-11]
judy| Yeah tell me what type of help you need from me| [person:judy f 2-2][person:marilyn f 7-7][person:judy f 10-10]
marilyn| I want you to suggest some nice places to visit| [person:marilyn f 0-0][person:judy f 2-2][location:places s 7-7]
judy| Tell me about your interest so that I can suggest as per your wish| [person:judy f 1-1][person:marilyn f 3-3][person:judy f 7-7][person:marilyn f 12-12]
marilyn| Okay I will discuss with the other friends and will come back to you| [person:marilyn f 1-1][person:friends g(eva:christina) 7-7][person:judy f 13-13]
judy| That s nice and I will wait for your call| [person:judy f 4-4][person:marilyn f 8-8]
marilyn| Okay thank you so much| [person:judy f 2-2]

conv:people_2019090101_285:aug_0:chat_0:chataug_0| christina mary| [person:christina f 0-0][person:mary f 1-1]
christina| I can t wait for the picnic with Pamela and Amber| [person:christina f 0-0][location:picnic s 6-6][person:mary f 8-8][person:christina f 10-10]
mary| Me too I have so much fun when we are all together| [person:mary f 0-0][person:mary f 2-2][person:mary f 8-8]
christina| What do you think Pamela and Amber would like to eat on the picnic| [person:mary f 2-2][person:mary f 4-4][person:christina f 6-6][location:picnic s 13-13]
mary| They probably will want some subs and soda| [person:mary f 0-0]
christina| What kind of subs does Pamela like| [person:christina f 5-5]
mary| Pamela likes turkey from what I remember and Amber likes cheese| [person:mary f 0-0][person:mary f 5-5][person:mary f 8-8]
christina| I think I ll pick up some Sprite and Coke| [person:christina f 0-0][person:christina f 2-2]
mary| What park should we go to| [location:park s 1-1][person:mary f 3-3]
christina| How about the park by Amber s house| [location:park s 3-3][person:christina f 5-5]
mary| Yes that would be close to our work| [location:park s 1-1][person:christina f 6-6][location:work s 7-7]
christina| Sounds good Let s call them and then meet there tomorrow at 400 PM| [person:christina f 5-5][location:park s 9-9]
mary| That would be great See you then| [person:christina f 5-5]

conv:people_2019090101_286:aug_0:chat_0:chataug_0| jesse lawrence| [person:jesse m 0-0][person:lawrence m 1-1]
lawrence| Hi dear are you free now| [person:jesse m 3-3][location:h g() 4-4]
jesse| Yes dear Anything important|
lawrence| I am with our friends Mike and Eugene are decided to go for a drink today| [location:h g() 0-0][person:our g(lawrence:jesse) 3-3][person:friends g() 4-4][person:mike m 5-5][person:eugene m 7-7]
jesse| Oh I see What shall I do for you| [person:jesse m 1-1][person:jesse m 5-5][person:lawrence m 8-8]
lawrence| We have decided to come the pub in the area where you are working| [person:we g(lawrence:jesse:eugene) 0-0][person:jesse m 11-11]
jesse| Nice You are all welcome| [person:we g(lawrence:jesse:eugene) 1-1]
lawrence| Thank you I just want to know which Pub is the best one to spend time with our friends| [person:jesse m 1-1][person:lawrence m 2-2][person:our g(lawrence:jesse) 17-17][person:friends g(eugene:mike) 18-18]
jesse| There are so many pubs in this area What is your preference| [person:lawrence m 10-10]
lawrence| I prefer the pub which has good appearance and nice place to spend time| [person:lawrence m 0-0]
jesse| The Field Irish Pub Patricks Gaslamp Pub and Wonderland Ocean Pub are some of the famous pubs in this area|
lawrence| Oh good What about Wonderland Ocean Pub|
jesse| I think it is a good choice| [person:jesse m 0-0]
lawrence| Thank you very much for you suggestions Jesse Bye| [person:jesse m 1-1][person:jesse m 5-5][person:jesse m 7-7]
jesse| Bye|

conv:people_2019090101_288:aug_0:chat_0:chataug_0| amanda janice| [person:amanda f 0-0][person:janice f 1-1]
amanda| Hi|
janice| Hi Amanda| [person:amanda f 1-1]
amanda| How have you been Hows los| [person:janice f 2-2]
janice| Its good|
amanda| Nice we are visiting st Luios soon| [person:we g(amanda) 1-1]
janice| Wow With who|
amanda| With my friends caroline and Ann| [person:amanda f 1-1][person:friends g() 2-2][person:caroline f 3-3][person:ann f 5-5]
janice| Wow Where do you want to visit| [person:amanda f 3-3]
amanda| I love nature trails and zip lining ann too loves nature trail she enjoys swimming too| [person:amanda f 0-0][person:ann f 7-7][person:ann f 12-12]
janice| Ok And the other friend| [person:caroline f 4-4]
amanda| Ooh caroline enjoys evening walks and she enjoys good mexican food| [person:caroline f 1-1][person:caroline f 6-6]
janice| Nice thats all in town| [location:town s 4-4]
janice| Make google map your tour guide| [person:amanda f 3-3]
amanda| Nice|
janice| I thought you will recommend a place| [person:janice f 0-0][person:amanda f 2-2]
amanda| I am sorry i will get back to you later| [person:amanda f 0-0][person:amanda f 3-3][person:janice f 8-8]
amanda| I am in a meeting| [person:amanda f 0-0]

conv:people_2019090101_289:aug_0:chat_0:chataug_0| alan eduardo| [person:alan m 0-0][person:eduardo m 1-1]
eduardo| Are you ready for the dinner Shall we go now| [person:alan m 1-1][location:dinner s 5-5][person:we g(eduardo:alan) 7-7]
alan| Yes but I am thinking of our friends Walter and Harry What about your opinion on inviting them for this dinner plan| [person:alan m 2-2][person:our g(eduardo:alan) 6-6][person:friends g() 7-7][person:walter m 8-8][person:harry m 10-10][person:eduardo m 13-13][person:them g(walter:harry) 17-17]
eduardo| That is nice but I think it is not possible to invite both at same time| [person:eduardo m 4-4][location:dinner s 6-6]
alan| Why are you thinking like that| [person:eduardo m 2-2]
eduardo| You know well that Harry has a strong preference for pizza How we can adjust with him as Walter generally avoid Pizza| [person:alan m 0-0][person:harry m 4-4][person:we g(eduardo:alan) 12-12][person:harry m 16-16][person:walter m 18-18]
alan| Yes I know that But if we ask them to adjust once then they will okay I think| [person:alan m 1-1][person:we g(eduardo:alan) 6-6][person:them g(walter:harry) 8-8][person:they g(walter:harry) 13-13][person:alan m 16-16]
eduardo| I don t think that will be possible and if you like you can check with them| [person:eduardo m 0-0][person:alan m 10-10][person:alan m 12-12][person:them g(walter:harry) 16-16]
alan| Okay I will ask Walter and you check with Harry and decide| [person:alan m 1-1][person:walter m 4-4][person:eduardo m 6-6][person:harry m 9-9]
eduardo| You do one thing You invite both of them to the dinner but don t discuss about the food| [person:alan m 0-0][person:alan m 4-4][person:them g(walter:harry) 8-8][location:dinner s 11-11]
eduardo| I will check with the restaurant which have all type of food So we all can choose whatever we like| [person:eduardo m 0-0][location:restaurant s 5-5][person:we g(eduardo:alan) 13-13][person:we g(eduardo:alan) 18-18]
alan| That s the best plan I think You are great| [person:alan m 5-5][person:eduardo m 7-7]
eduardo| Thanks You invite them and I will fix the place to go| [person:alan m 1-1][person:them g(walter:harry) 3-3][person:eduardo m 5-5][location:place s 9-9]
alan| Okay Done|

conv:people_2019090101_290:aug_0:chat_0:chataug_0| danielle jean| [person:danielle f 0-0][person:jean f 1-1]
danielle| Jean Are you ready for the get together with Murpheys| [person:jean f 0-0][person:jean f 2-2][location:murpheys s 6-7][location:murpheys s 9-9]
jean| Yes ofcourse I love to go there I am always ready| [person:jean f 2-2][person:jean f 7-7]
danielle| What do we bring with us for them Do you have any idea| [person:we g(danielle:jean) 2-2][person:we g(danielle:jean) 5-5][person:murpheys g() 7-7][person:jean f 9-9]
jean| I know something about Janice and I don t know much about Scott Do you know| [person:jean f 0-0][person:janice f 4-4][person:jean f 6-6][person:scott m 12-12][person:danielle f 14-14]
danielle| Yes I know but I am thinking about Ethan only as I don t know about his interest| [person:danielle f 1-1][person:danielle f 4-4][person:ethan m 8-8][person:danielle f 11-11][person:ethan m 16-16]
jean| Yes What do we do now Shall we ask about Ethan s interest from Scott or Janice| [person:we g(danielle:jean) 3-3][person:we g(danielle:jean) 7-7][person:ethan m 10-10][person:scott m 14-14][person:janice f 16-16]
danielle| No no we have to give them a surprise| [person:we g(danielle:jean) 2-2][person:murpheys g(janice:scott:ethan) 6-6]
jean| Okay We will buy what generally a little children will love| [person:we g(danielle:jean) 1-1]
danielle| It s okay I will purchase things for Scott and Janice and you go and purchase for Ethan| [person:danielle f 3-3][person:scott m 8-8][person:janice f 10-10][person:jean f 12-12][person:ethan m 17-17]
jean| Okay I will do it Definitely we will going to enjoy this get together| [person:jean f 1-1][person:we g(danielle:jean) 6-6]
danielle| Yes ofcourse|

conv:people_2019090101_293:aug_0:chat_0:chataug_0| arthur raymond| [person:arthur m 0-0][person:raymond m 1-1]
raymond| Hey George| [person:george m 1-1]
arthur| Hello Raymond What s up| [person:raymond m 1-1]
raymond| Are you ready to go to the baseball game| [person:arthur m 1-1]
arthur| Yes I am excited We need to decide which game we want to go to though| [person:arthur m 1-1][person:we g(raymond:arthur:george) 4-4][person:we g(raymond:arthur:george) 10-10]
raymond| I was thinking we should go to the Texas Rangers game this Sunday You know how they are my favorite team| [person:raymond m 0-0][person:we g(raymond:arthur:george) 3-3][person:rangers g() 9-9][person:arthur m 13-13][person:they g(raymond:arthur:george) 16-16][person:raymond m 18-18]
arthur| Yes but remember that George and Justin are going as well They want to see the Boston Red Sox| [person:george m 4-4][person:justin m 6-6][person:they g(raymond:arthur:george) 11-11][location:boston s 16-16]
raymond| I forgot about that but remember know that you told me| [person:raymond m 0-0][person:arthur m 8-8][person:raymond m 10-10]
arthur| Yes I ll look at the schedule here and try to find a game we all will enjoy| [person:arthur m 1-1][person:we g(raymond:arthur:george) 14-14]
raymond| Let me know what you find| [person:raymond m 1-1][person:arthur m 4-4]
arthur| On May 17th the Texas Rangers are playing the Boston Red Sox in Arlington Texas That should work for everyone teamwise| [location:texas s 4-4][person:rangers g() 5-5][location:boston s 9-9][location:arlington s 13-13][location:texas s 14-14][person:everyone g(raymond:arthur:george:justin) 19-19]
raymond| That sounds great|
arthur| Yes I ll call George and Justin and see if that date works for everyone| [person:arthur m 1-1][person:george m 4-4][person:justin m 6-6][person:everyone g(raymond:arthur:george:justin) 14-14]

conv:people_2019090101_294:aug_0:chat_0:chataug_0| ethan jon| [person:ethan m 0-0][person:jon m 1-1]
jon| Hey I m looking forward to that game tonight| [person:jon m 1-1]
ethan| Me too I can t wait to see how they ll win| [person:ethan m 0-0][person:ethan m 2-2][person:they g() 9-9]
jon| I think we already know the winners lol| [person:jon m 0-0][person:jon m 2-2]
jon| But I was wanting to stop off for dinner before the game Do you know if anyone else is interested| [person:jon m 1-1][person:jon m 13-13][person:anyone g() 16-16]
ethan| I m not too sure Howard and Joseph are both already on their way to the stadium| [person:ethan m 0-0][person:howard m 5-5][person:joseph m 7-7][person:their g(howard:joseph) 12-12]
ethan| I m about to leave myself| [person:ethan m 0-0][person:ethan m 5-5]
jon| We could always stop at that cool restaurant down the street for the stadium It s super convenient| [person:we g(howard:joseph) 0-0]
ethan| That does sound good|
jon| I know Howard has to drive past me coming from his job So picking me up would be easy| [person:jon m 0-0][person:howard m 2-2][person:jon m 7-7][person:jon m 10-10][person:jon m 14-14]
ethan| Well you do have a good point Let me check with him and see how he feels| [person:jon m 1-1][person:ethan m 8-8][person:jon m 11-11][person:ethan m 15-15]
jon| Thanks|
ethan| All right Howard agreed to pick you up and eat there| [person:howard m 2-2][person:ethan m 6-6]
ethan| Joseph will meet us there as well| [person:joseph m 0-0][person:us g(ethan:howard) 3-3]
jon| Awesome That sounds like a great plan Thanks for setting it all up|

conv:people_2019090101_295:aug_0:chat_0:chataug_0| aaron jesse| [person:aaron m 0-0][person:jesse m 1-1]
jesse| How are you| [person:aaron m 2-2]
aaron| Fine thanks How do you do| [person:jesse m 4-4]
jesse| Very well thank you It has been a long time after our last meet| [person:aaron m 3-3][person:our g(jesse:aaron) 11-11]
aaron| That s right It s nice to see after a long time|
jesse| It s very shocking to see you in this fear| [person:aaron m 6-6]
aaron| I came here to accompany my cousin s family since they don t this place Why did you come here| [person:aaron m 0-0][location:here s 2-2][person:aaron m 5-5][person:cousin u 6-6][person:family g(cousin) 8-8][person:family g(cousin) 10-10][location:this_place s 13-14][person:jesse m 17-17]
jesse| My family compelled me to join them So I am here with them Suman Wait Did you get married| [person:jesse m 0-0][person:family g() 1-1][person:jesse m 3-3][person:family g(jesse) 6-6][person:jesse m 8-8][location:here s 10-10][person:them g() 12-12][person:aaron m 16-16]
aaron| No I am not older to get married| [person:aaron m 1-1]
jesse| I am going to have the giant wheel ride Will you join me| [person:jesse m 0-0][person:aaron m 10-10][person:jesse m 12-12]
aaron| No Suman I m not interested| [person:aaron m 2-2]
jesse| Where are your family Let me meet them| [person:aaron m 2-2][person:family g(cousin) 3-3][person:jesse m 5-5][person:family g(cousin) 7-7]
aaron| I don t know where they are What are you doing| [person:aaron m 0-0][person:family g(cousin) 5-5][person:jesse m 9-9]
jesse| I m currently studying B Tech of Mechanical Engineering| [person:jesse m 0-0]
aaron| Oh That sounds cool I am studying BBM| [person:aaron m 4-4]
jesse| Bye|

conv:people_2019090101_297:aug_0:chat_0:chataug_0| adam eddie| [person:adam m 0-0][person:eddie m 1-1]
adam| Hey Eddie I am excited about the playoffs| [person:eddie m 1-1][person:adam m 2-2]
eddie| Me too It should be a great game I wan to invite you Edward and Susuan to watch it at my house When do you think you can make it| [person:eddie m 0-0][person:eddie m 8-8][person:adam m 12-12][person:edward m 13-13][person:eddie m 20-20][person:adam m 24-24][person:adam m 26-26]
adam| I ll find out the schedule of the Susan and Edward I think Susan has work that day| [person:adam m 0-0][person:susan f 8-8][person:edward m 10-10][person:adam m 11-11][person:susan f 13-13]
eddie| Myabe she can join us after work| [person:susan f 1-1][person:us g(adam:eddie) 4-4]
adam| I can make it when the game starts| [person:adam m 0-0]
eddie| That ll be amazing I am just having a few peoiple over for some drinks| [person:eddie m 4-4]
adam| That s cool Do I know any of the other people| [person:adam m 4-4]
eddie| You ve met a couple of them at the holiday party so it wouldn t be akward or anything| [person:adam m 0-0][person:them g(edward:susan) 6-6]
adam| I ll bring some beer It should be fun| [person:adam m 0-0]
eddie| Yeah It ll be super chill Hope Susan can make it too| [person:susan f 7-7]

conv:people_2019090101_298:aug_0:chat_0:chataug_0| marie willie| [person:marie f 0-0][person:willie m 1-1]
willie| My friends April Leslie and Russell will be in town this weekend| [person:willie m 0-0][person:friends g() 1-1][person:april f 2-2][person:leslie f 3-3][person:russell m 5-5][location:town s 9-9]
marie| Are those your friends from university| [person:willie m 2-2][person:friends g(april:leslie:russell) 3-3][location:university s 5-5]
willie| Yes they are They would be stopping by for a short visit I know we have plans then so I was hoping you could join us| [person:friends g(april:leslie:russell) 1-1][person:friends g(april:leslie:russell) 3-3][person:willie m 12-12][person:we g(willie:april:leslie:russell) 14-14][person:willie m 19-19][person:marie f 22-22]
marie| I am not too sure I do not know them that well| [person:marie f 0-0][person:marie f 5-5][person:friends g(april:leslie:russell) 9-9]
willie| Well they know about you I told them about you They are excited to meet you| [person:friends g(april:leslie:russell) 1-1][person:marie f 4-4][person:willie m 5-5][person:friends g(april:leslie:russell) 7-7][person:marie f 9-9][person:friends g(april:leslie:russell) 10-10]
marie| Ok Now I am feeling pressured to meet them| [person:marie f 2-2][person:friends g(april:leslie:russell) 8-8]
willie| Don t say that I just want you to meet my friends No real pressure there| [person:willie m 4-4][person:marie f 7-7][person:willie m 10-10][person:friends g(april:leslie:russell) 11-11]
marie| But we are not even officially in a relationship| [person:we2 g(willie:marie) 1-1]
willie| I was hoping to change that| [person:willie m 0-0]
marie| Are you saying what I think you are saying| [person:willie m 1-1][person:marie f 4-4][person:willie m 6-6]
willie| Yes I want you to be my girlfriend| [person:willie m 1-1][person:marie f 3-3][person:willie m 6-6][person:marie f 7-7]
marie| Well I am not so sure| [person:marie f 1-1]
willie| Are you kidding me| [person:marie f 1-1][person:willie m 3-3]
marie| I was only joking| [person:marie f 0-0]
willie| You are so funny I know you guys will get along well They are a funny bunch as well| [person:marie f 0-0][person:willie m 4-4][person:you2 g(marie:april:leslie:russell) 6-6][person:friends g(april:leslie:russell) 12-12]

conv:people_2019090101_299:aug_0:chat_0:chataug_0| kim shirley| [person:kim f 0-0][person:shirley f 1-1]
shirley| Are you ready for breakfast this weekend| [person:kim f 1-1]
