conv:people_2019081802_39:aug_0:chat_0:chataug_0| alexander johnny| [person:alexander m 0-0][person:johnny m 1-1]
scott| That s okay because they have a buffet with Italian and other cultures on 5th street We could go there| [person:they g(douglas:robert) 4-4][location:street s 15-15][person:we g(bryan:scott:douglas:robert) 16-16][location:street s 19-19]
bryan| Okay that sounds like a plan Let s do it|
scott| Great I ll meet you there at 10 am I can call our friends and have them meet us too| [person:scott m 1-1][person:bryan m 4-4][person:scott m 9-9][person:we g(bryan:scott) 12-12][person:they g(douglas:robert) 13-13][person:we g(bryan:scott) 18-18]

conv:people_2019081802_57:aug_0:chat_0:chataug_0| ann joyce| [person:ann f 0-0][person:joyce f 1-1]
joyce| Hey do you remember my friend Victoria| [person:ann f 2-2][person:joyce f 4-4][person:victoria f 5-5][person:victoria f 6-6]
ann| Yes she s really sweet Why do you ask| [person:victoria f 1-1][person:joyce f 7-7]
joyce| She s coming into town this weekend We should all hang out| [person:victoria f 0-0][location:town s 4-4][person:we g(joyce:ann:victoria) 7-7]
ann| That s exciting I m down| [person:ann f 3-3]
joyce| Is there any way you could pick her up from the school at noon| [person:ann f 4-4][person:victoria f 7-7][location:school s 11-11]
ann| I would but I have a meeting with Howard at noon| [person:ann f 0-0][person:ann f 3-3][person:howard m 8-8]
joyce| Darn Really Is there any way you can reschedule| [person:ann f 6-6]
ann| Fine I ll reschedule the meeting for 11| [person:ann f 1-1]
joyce| Nevermind Catherine is going to pick her up| [person:catherine f 1-1][person:victoria f 6-6]
ann| Okay I ll just meet Howard at 11 and then leave work early Text me when you get off| [person:ann f 1-1][person:howard m 5-5][person:ann f 14-14][person:joyce f 16-16]

conv:people_2019081802_58:aug_0:chat_0:chataug_0| andrea cynthia| [person:andrea f 0-0][person:cynthia f 1-1]
cynthia| Hi Andrea I need a favor| [person:andrea f 1-1][person:cynthia f 2-2]
andrea| Hi Cynthia Anything for you| [person:cynthia f 1-1][person:cynthia f 4-4]
cynthia| Actually my uncle Howard and aunt Melissa are visiting New York Can you show them around| [person:cynthia f 1-1][person:howard m 3-3][person:melissa f 5-5][person:melissa f 6-6][location:new_york s 9-10][person:andrea f 12-12][person:them g(howard:melissa) 14-14]
cynthia| As you live there I thought You can help| [person:cynthia f 1-1][person:cynthia f 4-4][person:andrea f 6-6]
andrea| What would they like to visit| [person:them g(howard:melissa) 2-2]
cynthia| What do you suggest| [person:andrea f 2-2]
andrea| I have some places in mind You send them And I will take care of them| [person:andrea f 0-0][location:places g() 3-3][person:cynthia f 6-6][person:them g(howard:melissa) 8-8][person:andrea f 10-10][person:them g(howard:melissa) 15-15]
cynthia| Okay That is why yoou are my best friend| [person:cynthia f 6-6]
andrea| Hahaha Anything for you bro| [person:cynthia f 3-3]
cynthia| I will not forget this| [person:cynthia f 0-0]
andrea| I know| [person:andrea f 0-0]
cynthia| See You Andrea Bye| [person:andrea f 1-1][person:andrea f 2-2]
andrea| Bye Cybthia|

conv:people_2019081802_59:aug_0:chat_0:chataug_0| diane jordan| [person:diane f 0-0][person:jordan m 1-1]
jordan| Hi Diane When could we visit our work friends| [person:diane f 1-1][person:we g(jordan:diane) 4-4][person:our g(jordan:diane) 6-6][person:friends g() 8-8]
diane| Hi Jordan We could go to Evan and Sophia in July| [person:jordan m 1-1][person:we g(jordan:diane) 2-2][person:evan m 6-6][person:sophia f 8-8]
jordan| Yes it would be perfect in July Do you prefer in the first days of the month or in the middle of the month| [person:diane f 8-8]
diane| Sophia will be on vacation in the first days of the month so better at that time| [person:sophia f 0-0]
jordan| It s OK for me What could we bring to our friends| [person:jordan m 4-4][person:we g(jordan:diane) 7-7][person:our g(jordan:diane) 10-10][person:friends g(evan:sophia) 11-11]
diane| I thought we could buy something for their new house What do you say| [person:diane f 0-0][person:we g(jordan:diane) 2-2][person:their g(evan:sophia) 7-7][person:jordan m 12-12]
jordan| It seems like an excellent idea Something for the garden or for the kitchen| [location:kitchen s 13-13]
diane| I saw some very nice objects for the garden in a shop in my neighborhood| [person:diane f 0-0][person:diane f 13-13]
jordan| I really like garden furniture Can I come with you to choose something| [person:jordan m 0-0][person:jordan m 6-6][person:diane f 9-9]
diane| Of course This will make it easier to decide Are we going there tomorrow afternoon| [person:we g(jordan:diane) 10-10]
jordan| Why not See you tomorrow| [person:diane f 3-3]

conv:people_2019081802_61:aug_0:chat_0:chataug_0| howard joshua| [person:howard m 0-0][person:joshua m 1-1]
howard| Me Austin and Joe are going hiking this weekend Wanna come| [person:howard m 0-0][person:austin m 1-1][person:joe m 3-3]
joshua| It s a long weekend coming up|
howard| Yeah We re leaving Thursday night and coming back on Monday afternoon| [person:we g(howard:joshua) 1-1]
joshua| I don t know That s a long time to spend with people I don t know| [person:joshua m 0-0][person:joshua m 13-13]
howard| You know me| [person:joshua m 0-0][person:howard m 2-2]
joshua| Yeah but I don t really know Austin and Joe that well| [person:joshua m 2-2][person:austin m 7-7][person:joe m 9-9]
howard| You ll get to know them better if you come on this trip| [person:joshua m 0-0][person:them g(austin:joe) 5-5][person:joshua m 8-8]
joshua| I dunno| [person:joshua m 0-0]
howard| I went to college with Joe and practically grew up with Austin They re cool dudes bro| [person:howard m 0-0][person:joe m 5-5][person:austin m 11-11][person:them g(austin:joe) 12-12]
joshua| I m not really outdoorsy like you guys| [person:joshua m 0-0][person:howard m 6-6]
howard| Austin isn t really outdoorsy either You have something in common| [person:austin m 0-0][person:joshua m 6-6]
joshua| Okay maybe I ll come| [person:joshua m 2-2]
howard| Joe brews his own craft beers and is bringing some samples for us to try out| [person:joe m 0-0][person:joe m 2-2][person:we g(howard:joshua) 12-12]
joshua| Okay Count me in| [person:joshua m 2-2]

conv:people_2019081802_62:aug_0:chat_0:chataug_0| paul peter| [person:paul m 0-0][person:peter m 1-1]
peter| Hey lets have a movie night tonight Paul| [person:paul m 7-7]
paul| That sounds like a lot of fun Peter Let s do it| [person:peter m 7-7]
peter| How about we invite Donald Shane and Daniel| [person:we g(peter:paul) 2-2][person:donald m 4-4][person:shane m 5-5][person:daniel m 7-7]
paul| I like those friends but Donald is kind of loud| [person:paul m 0-0][person:friends g(donald:shane:daniel) 3-3][person:donald m 5-5]
peter| Okay well we could just invite Shane and Daniel| [person:we g(peter:paul) 2-2][person:shane m 6-6][person:daniel m 8-8]
paul| Yes that sounds like a plan to me| [person:peter m 7-7]
peter| Who should I call and who will you call| [person:peter m 2-2][person:paul m 7-7]
paul| I will call both of them today| [person:paul m 0-0][person:them g(shane:daniel) 5-5]
peter| Okay that sounds good I m looking forward to it| [person:peter m 4-4]
paul| Great me too We have so much fun together| [person:paul m 1-1][person:we g(peter:paul) 3-3]

conv:people_2019081802_63:aug_0:chat_0:chataug_0| alex robert| [person:alex m 0-0][person:robert m 1-1]
robert| Hey you still up for that run later today| [person:alex m 1-1]
alex| Sure am|
robert| Great have you heard from Steven Alexander and Lawrence| [person:alex m 2-2][person:steven m 5-5][person:alexander m 6-6][person:lawrence m 8-8]
alex| Yes they re still coming| [person:they g(steven:alexander:lawrence) 1-1]
robert| We are going to need water sunscreen and trail mix| [person:we g(robert:alex:steven:alexander:lawrence) 0-0]
alex| Okay I can bring the water| [person:alex m 1-1]
robert| I ll bring the trail mix| [person:robert m 0-0]
alex| I know Lawrence has sunscreen already| [person:alex m 0-0][person:lawrence m 2-2]
robert| Can you ask him to bring it along with him| [person:alex m 1-1][person:lawrence m 3-3][person:lawrence m 9-9]
