conv:people_chats_04182020_260:aug_0:chat_0:chataug_0| anne klay| [person:anne f 0-0][person:klay m 1-1]
suzy| Yeah Liam and Connor always take the train They say it is very safe| [person:liam m 1-1][person:connor m 3-3][person:they g(liam:connor) 8-8]
charlotte| Not only that but we can also reach early| [person:we g(suzy:charlotte) 4-4]
suzy| Alright let s take the train then|
charlotte| You re right Better safe than sorry| [person:suzy f 0-0]

conv:people_chats_04182020_273:aug_0:chat_0:chataug_0| howard jeff| [person:howard m 0-0][person:jeff m 1-1]
howard| Hey Jeff Can I come over to my place My parents are leaving to Boston tonight and I will be alone in the house for two days So let s just plan big| [person:jeff m 1-1][person:howard m 3-3][person:howard m 7-7][location:place s 8-8][person:howard m 9-9][person:parents g() 10-10][location:boston s 14-14][person:howard m 17-17]
jeff| Sure Howard You know that I won t miss such opportunity Are you planing to bring anyone else| [person:howard m 1-1][person:howard m 2-2][person:jeff m 5-5][person:howard m 12-12][person:anyone g() 16-16]
howard| I m planning to call Derek What do you like to eat I m planning to order to pizza so that we can sit and enjoy watching Netflix along with pizza| [person:howard m 0-0][person:derek m 5-5][person:jeff m 8-8][person:howard m 12-12][person:we g(howard:jeff:derek) 21-21]
jeff| If you are planing to call Derek then its better to get his suggestions as he is very particular about pizza Just get some booze for me| [person:howard m 1-1][person:derek m 6-6][person:derek m 12-12][person:derek m 15-15][person:jeff m 26-26]
howard| Sure Derek is not answering my call Can you just call him up and tell him to come on time He comes late every time and today I m not going to spare him if he s late| [person:derek m 1-1][person:howard m 5-5][person:jeff m 8-8][person:derek m 11-11][person:derek m 15-15][person:derek m 20-20][person:howard m 27-27][person:derek m 33-33]
jeff| Doesn t matter He will be late anyway Have got got any word from Rafael Will he come along with the booze| [person:derek m 3-3][person:rafael m 14-14][person:rafael m 16-16]
howard| Yeah Rafeal was texting me and he will be here soon No he is not getting any drinks and I think we need to get beer for him as well| [person:rafael m 1-1][person:howard m 4-4][person:rafael m 6-6][person:rafael m 12-12][person:howard m 19-19][person:we g(howard:jeff:derek:rafael) 21-21][person:rafael m 27-27]
jeff| Better ask his preferences I still remember what happened with him last time when we ordered Heineken beer He made us to get his favorite brand again Lets wait for him| [person:rafael m 2-2][person:jeff m 4-4][person:rafael m 10-10][person:we g(howard:jeff) 14-14][person:rafael m 18-18][person:we g(howard:jeff) 20-20][person:rafael m 23-23]
howard| Yeah he is very particular about the drinks He even checks the alcohol percentage in various beers and then he would pick one Okay it s getting late Jeff my parents have left as well Please come fast| [person:rafael m 1-1][person:rafael m 8-8][person:rafael m 19-19][person:jeff m 28-28][person:howard m 29-29][person:parents g() 30-30]
jeff| Yup I have started already On my way Just make sure about them| [person:jeff m 1-1][person:jeff m 6-6][person:them g(derek:rafael) 12-12]

conv:people_chats_04182020_274:aug_0:chat_0:chataug_0| art spencer| [person:art m 0-0][person:spencer m 1-1]
spencer| Hey Art What are you doing| [person:art m 1-1][person:art m 4-4]
art| Nothing much I m planning to surprise Ruth for Christmas| [person:art m 2-2][person:ruth f 7-7]
spencer| Oh Even I want to plan a surprise my girlfriend for Christmas| [person:spencer m 2-2][person:spencer m 8-8][person:girlfriend f 9-9]
art| Let s think about the gifts and surprise together then|
spencer| Yeah sure Even I need some assistance Art| [person:spencer m 3-3][person:art m 7-7]
art| Let s throw a surprise party and invite all their friends and families| [person:their g() 9-9][person:friends g() 10-10]
spencer| That s the great idea Let s do it|
art| Yeah I ll make a list for the girls surprise party and invite everyone they know| [person:art m 1-1][person:girls g() 8-8][person:everyone g() 13-13][person:they g() 14-14]
art| You make all the arrangements that are needed for the party like decorations gifts and cake| [person:spencer m 0-0]
spencer| Okay I will make the arrangements needed for party| [person:spencer m 1-1]

conv:people_chats_04182020_275:aug_0:chat_0:chataug_0| carolyn edward| [person:carolyn f 0-0][person:edward m 1-1]
carolyn| Edward Are you done playing video games Please get up You need to go to grocery store to get veggies| [person:edward m 0-0][person:edward m 2-2][person:edward m 10-10]
edward| Mom Please give me 10 minutes I will be done I m playing the final match and it is important Mom But why do you want veggies when it s already there| [person:carolyn f 0-0][person:edward m 3-3][person:edward m 6-6][person:edward m 10-10][person:carolyn f 20-20][person:carolyn f 24-24]
carolyn| Four of my friends are coming to our house for dinner They are my closest friends till date So please stop your drama and come here I will give you the list of veggies to get faster| [person:carolyn f 2-2][person:friends g() 3-3][person:our g(carolyn:edward) 7-7][person:friends g() 11-11][person:carolyn f 13-13][person:edward m 21-21][person:carolyn f 26-26][person:edward m 29-29]
edward| Okay mom but Who all are coming now Most of your friends prefer italian dishes and there is no point me getting veggies now Shall we order the food from online| [person:carolyn f 1-1][person:carolyn f 10-10][person:friends g() 11-11][person:edward m 20-20][person:our g(carolyn:edward) 25-25]
carolyn| Don t make me angry and just do what I told you Take 1 kilo tomatoes along with 1 kilo onions| [person:carolyn f 3-3][person:carolyn f 9-9][person:edward m 11-11]
edward| That s it mom What kind of tomatoes should I take Big ones or medium sizes Please show me any sample of it| [person:carolyn f 3-3][person:edward m 9-9][person:edward m 18-18]
carolyn| Look it s here and also take cabbage for noddles Lucas loves noddles| [person:lucas m 10-10]
edward| Sure Mom Please prepare broccoli for me I really wanted to eat I will take half a kilo of broccoli Is there anything else mom| [person:carolyn f 1-1][person:edward m 6-6][person:edward m 7-7][person:edward m 12-12][person:carolyn f 24-24]
carolyn| Craig loves fried rice So please take carrots as well Carrots should be long not the small ones Understood| [person:craig m 0-0]
edward| Sure Mom I will be back with in an hour Meanwhile you keep everything ready I m already starving| [person:carolyn f 1-1][person:edward m 2-2][person:carolyn f 11-11][person:edward m 15-15]

conv:people_chats_04182020_276:aug_0:chat_0:chataug_0| mark sean| [person:mark m 0-0][person:sean m 1-1]
mark| Hi Sean next week we will be playing a Basket ball game Do you remember about this| [person:sean m 1-1][person:we g(mark:sean) 4-4][person:sean m 13-13]
sean| Yes I do remember about this But you said you have some issue about this game What s that| [person:sean m 1-1][person:mark m 7-7][person:mark m 9-9]
mark| Actually in this game I need more two people Can you suggest me any two names to involve them in this game| [person:mark m 4-4][person:sean m 10-10][person:mark m 12-12][person:them g() 18-18]
sean| Yeah Why can t you invite Donald and Robert| [person:mark m 4-4][person:donald m 6-6][person:robert m 8-8]
mark| Well I don t want to invite them Because these two are poor in playing Basket ball game| [person:mark m 1-1][person:them g(donald:robert) 7-7]
sean| In what basses you are saying that their are bad in playing this game| [person:mark m 3-3][person:their g(donald:robert) 7-7]
mark| Donald is poor in shooting skills and Robert is poor in defense| [person:donald m 0-0][person:robert m 7-7]
sean| Well I had observed these in them Last match when their where playing Donald missed few goals and Robert was to bad in defense| [person:sean m 1-1][person:them g(donald:robert) 6-6][person:their g(donald:robert) 10-10][person:donald m 13-13][person:robert m 18-18]
mark| Let s met them and will discuss ways to play the game of using the good parts and avoiding the bad parts| [person:them g(donald:robert) 3-3]
sean| Yeah let s go and make our team more strong| [person:our g(mark:sean) 6-6][person:team g(mark:sean:donald:robert) 7-7]

conv:people_chats_04182020_277:aug_0:chat_0:chataug_0| evelyn samantha| [person:evelyn f 0-0][person:samantha f 1-1]
samantha| Hey Evelyn Did mom text you when is she coming home| [person:evelyn f 1-1][person:mom f 3-3][person:evelyn f 5-5][person:mom f 8-8][location:home s 10-10]
evelyn| Ya She told me that she have to complete two more cases today so probably she will be coming by late night only| [person:mom f 1-1][person:evelyn f 3-3][person:mom f 5-5][person:mom f 15-15]
samantha| Did she tell you anything about dinner Should we manage on our own| [person:mom f 1-1][person:evelyn f 3-3][person:we g(samantha:evelyn) 8-8][person:we g(samantha:evelyn) 11-11]
evelyn| Yes She told us to prepare noodles for aunt Kimberly and ourselves She was also very particular about the recipe also since aunt Kimberly is not comfortable with spicy foods| [person:samantha f 1-1][person:we g(samantha:evelyn) 3-3][person:kimberly f 8-8][person:kimberly f 9-9][person:kimberly f 12-12][person:kimberly f 22-22]
samantha| Alright But it will take lot of time to prepare noodles Lets prepare something easy and quick|
evelyn| That s great But the only issue is about aunt Kimberly s taste| [person:kimberly f 9-9][person:kimberly f 10-10]
samantha| Don t worry about that I am sure she like pasta very much| [person:samantha f 5-5][person:kimberly f 8-8]
evelyn| Excellent I will start preparing eggs also She would love that combination| [person:evelyn f 1-1][person:kimberly f 7-7]
samantha| Good Just tell mom to be in home as early as possible| [person:mom f 3-3][location:home s 7-7]
evelyn| Of course I will text her right away| [person:evelyn f 2-2][person:mom f 5-5]

conv:people_chats_04182020_278:aug_0:chat_0:chataug_0| margaret roy| [person:margaret f 0-0][person:roy m 1-1]
roy| Dear Margaret Let us go to the Doctor Eduardo for the annual check up| [person:margaret f 1-1][person:us g(roy:margaret) 3-3][person:doctor m 7-7][person:doctor m 8-8]
margaret| No Dad I am not coming to the Doctor Eduardo for the check up| [person:roy m 1-1][person:margaret f 2-2][person:doctor m 8-8][person:doctor m 9-9]
roy| What happened What is the reason for you in not coming to the Doctor| [person:margaret f 7-7][person:doctor m 13-13]
margaret| No Dad I don t like the Doctor Eduardo| [person:roy m 1-1][person:margaret f 2-2][person:doctor m 7-7][person:doctor m 8-8]
roy| Why you don t like him Is there any particular reason| [person:margaret f 1-1][person:doctor m 5-5]
margaret| Yes The Doctor Eduardo was mean and rude to me always| [person:doctor m 2-2][person:doctor m 3-3][person:margaret f 9-9]
roy| No He is not mean He just does his duty as a professional| [person:doctor m 1-1][person:doctor m 5-5][person:doctor m 8-8]
margaret| Whatever I don t like him to treat me the way he does| [person:margaret f 1-1][person:doctor m 5-5][person:margaret f 8-8][person:doctor m 11-11]
roy| Okay Dear I will ask him to be nice with you| [person:margaret f 1-1][person:roy m 2-2][person:doctor m 5-5][person:margaret f 10-10]
margaret| Okay I will come with you by your words| [person:margaret f 1-1][person:roy m 5-5][person:roy m 7-7]

conv:people_chats_04182020_280:aug_0:chat_0:chataug_0| kenneth ronald| [person:kenneth m 0-0][person:ronald m 1-1]
ronald| Hey Kenneth I had no idea what to get the bride and groom for their big day Do you have any| [person:kenneth m 1-1][person:ronald m 2-2][person:bride f 10-10][person:groom m 12-12][person:married_couple g(bride:groom) 14-14][person:kenneth m 18-18]
kenneth| Hey Ronald I was too in a confusion with that What type of present will they both like| [person:ronald m 1-1][person:kenneth m 2-2][person:married_couple g(bride:groom) 15-15]
ronald| As both were our friends We are unable to decide with the particular one| [person:married_couple g(bride:groom) 1-1][person:r_k g(ronald:kenneth) 3-3][person:r_k g(ronald:kenneth) 5-5]
kenneth| Yes that was the true We spent all day looking through the registry but unable to decide| [person:r_k g(ronald:kenneth) 5-5]
ronald| We would rather go according to the both likes and decide the need That will be preferable| [person:r_k g(ronald:kenneth) 0-0][person:married_couple g(bride:groom) 7-7]
kenneth| Yeah That was good idea Let us get some special things that they like| [person:r_k g(ronald:kenneth) 6-6][person:married_couple g(bride:groom) 12-12]
ronald| As far as I know they both Diana and Dylan have similar taste| [person:ronald m 3-3][person:married_couple g(bride:groom) 5-5][person:bride f 7-7][person:groom m 9-9]
kenneth| Then we would try making the things better By selecting the similar terms in the both likes| [person:r_k g(ronald:kenneth) 1-1]
ronald| Okay We should go with their choices and decide the present| [person:r_k g(ronald:kenneth) 1-1][person:married_couple g(bride:groom) 5-5]
kenneth| Yeah Let us think and get the things done| [person:r_k g(ronald:kenneth) 2-2]

conv:people_chats_04182020_283:aug_0:chat_0:chataug_0| joe quincy| [person:joe m 0-0][person:quincy m 1-1]
quincy| Hi Joe I need to talk to you are you there| [person:joe m 1-1][person:quincy m 2-2][person:joe m 7-7][person:joe m 9-9]
joe| Hey buddy tell me what s going on| [person:quincy m 1-1][person:joe m 3-3]
quincy| I m kinda worried about your sibblings Jeremy and Adam| [person:quincy m 0-0][person:joe m 5-5][person:jeremy m 7-7][person:adam m 9-9]
joe| I know they are on trouble but it s their stuff| [person:joe m 0-0][person:they g(jeremy:adam) 2-2][person:they g(jeremy:adam) 9-9]
quincy| Come one on man don t talk like that You should help them They are your family| [person:joe m 9-9][person:they g(jeremy:adam) 12-12][person:they g(jeremy:adam) 13-13][person:joe m 15-15][person:they g(jeremy:adam) 16-16]
joe| I have my own troubles too Quincy They just don t listen| [person:joe m 0-0][person:joe m 2-2][person:quincy m 6-6][person:they g(jeremy:adam) 7-7]
joe| They are using all kind of drugs specially cocaine| [person:they g(jeremy:adam) 0-0]
quincy| They deserve a second chance and you know it| [person:they g(jeremy:adam) 0-0][person:joe m 6-6]
joe| I feel its like losing time They even turn my daughter into cocaine addict| [person:joe m 0-0][person:they g(jeremy:adam) 6-6][person:joe m 9-9][person:daughter f 10-10]
joe| But I will talk with them over the phone to arrange a meeting| [person:joe m 1-1][person:they g(jeremy:adam) 5-5]
quincy| Do it and let me know how it all goes| [person:quincy m 4-4]
joe| Okay I will but if they turn my daughter into an addict again it will be your fault| [person:joe m 1-1][person:they g(jeremy:adam) 5-5][person:joe m 7-7][person:daughter f 8-8][person:quincy m 16-16]
quincy| Take it easy it wont happen|
quincy| They are good kids| [person:they g(jeremy:adam) 0-0]
joe| I m calling them right now| [person:joe m 0-0][person:they g(jeremy:adam) 3-3]

conv:people_chats_04182020_288:aug_0:chat_0:chataug_0| colby spencer| [person:colby m 0-0][person:spencer m 1-1]
colby| Hey Spencer what is your idea towards the project that Mr Morgans appointed us| [person:spencer m 1-1][person:spencer m 4-4][person:mr__morgan m 11-11][person:us g(colby:spencer) 13-13]
spencer| I don t know Colby I m still thinking about it Do you have any ideas| [person:spencer m 0-0][person:colby m 4-4][person:spencer m 5-5][person:colby m 12-12]
colby| I think we should create a PowerPoint presentation and show it in the class| [person:colby m 0-0][person:us g(colby:spencer) 2-2]
spencer| I don t think that s a good idea| [person:spencer m 0-0]
colby| Why What is wrong with a PowerPoint presentation|
spencer| It won t work for us because Mr Morgans is old school and he would prefer a poster board| [person:us g(colby:spencer) 5-5][person:mr__morgan m 8-8][location:school s 11-11][person:mr__morgan m 13-13]
colby| Oh yeah I totally got him mixed up with Mrs Martins| [person:colby m 2-2][person:mr__morgan m 5-5][person:mrs__martins f 10-10]
spencer| Alright no problem So you agree that we should use a poster board| [person:colby m 4-4][person:us g(colby:spencer) 7-7]
colby| Yes I agree with you Mr Morgans would like it| [person:colby m 1-1][person:spencer m 4-4][person:mr__morgan m 6-6]
spencer| Okay let s meet in the evening and decide the rest of it|

conv:people_chats_04182020_289:aug_0:chat_0:chataug_0| lester olly| [person:lester m 0-0][person:olly f 1-1]
lester| Hey Olly I am very confused about choosing the college I would like to go| [person:olly f 1-1][person:lester m 2-2][person:lester m 10-10]
olly| Why there is a confusion Lester It must be crystal clear to you since your carrier depends on the choice| [person:lester m 5-5][person:lester m 12-12][person:lester m 14-14]
lester| Problem is Graham and Artur have gone to Dartmouth but Caterina has gone to Queens| [person:graham m 2-2][person:artur m 4-4][location:dartmouth s 8-8][person:caterina f 10-10][location:queens s 14-14]
olly| Lester you must make your choice on where you want to go not where your loved ones have gone| [person:lester m 0-0][person:lester m 1-1][person:lester m 4-4][person:lester m 8-8][person:lester m 14-14]
lester| I completely agree Olly but these two are my top two choices This is the confusion I am talking about| [person:lester m 0-0][person:olly f 3-3][person:lester m 8-8][person:lester m 16-16]
olly| I don t think your relationship with Caterina is working Lester| [person:olly f 0-0][person:lester m 4-4][person:caterina f 7-7][person:lester m 10-10]
lester| Oh god I never knew you had an opinion about my relationship| [person:lester m 2-2][person:olly f 5-5][person:lester m 10-10]
olly| No Lester I see you can t see please go with Graham and Artur and enjoy your university life to the fullest| [person:lester m 1-1][person:olly f 2-2][person:lester m 4-4][person:graham m 11-11][person:artur m 13-13][person:lester m 16-16][location:university s 17-17]
lester| I am little taken aback by your honesty but will seriously examine both options| [person:lester m 0-0][person:olly f 6-6]
olly| Honesty is the best policy with friends choose wisely Lester| [person:friends g(lester:olly:graham:artur) 6-6][person:lester m 9-9]
lester| I appreciated your honesty and friendship a lot and you know it Olly| [person:lester m 0-0][person:olly f 2-2][person:olly f 9-9][person:olly f 12-12]
olly| I know this this is why I gave you an alarm hope you will make the right decision| [person:olly f 0-0][person:olly f 6-6][person:lester m 8-8][person:lester m 12-12]
lester| I will eventually thank you so much bye bye see you soon| [person:lester m 0-0][person:olly f 4-4][person:olly f 10-10]
olly| I know this well see you soon| [person:olly f 0-0][person:lester m 5-5]

conv:people_chats_04182020_290:aug_0:chat_0:chataug_0| dennis don| [person:dennis m 0-0][person:don m 1-1]
dennis| Don I need to discuss with you about our upcoming project| [person:dennis m 1-1][person:don m 6-6][person:our g(dennis:don) 8-8]
don| Let s do it now Have you thought of any idea| [person:dennis m 6-6]
dennis| Yeah I have already downloaded a few pictures and information But I need to discuss it with you further| [person:dennis m 1-1][person:dennis m 11-11][person:don m 17-17]
dennis| I will present it in a powerpoint presentation| [person:dennis m 0-0]
don| I think you forgot that Mr Martins is from the old school He loves to have posters or models| [person:don m 0-0][person:dennis m 2-2][person:mr__martins m 6-6][location:school s 11-11][person:mr__martins m 12-12]
don| You should start thinking of making it| [person:dennis m 0-0]
dennis| I really forgot about it Thank you so much for this I think you should come to my place Meanwhile I will think about the project| [person:dennis m 0-0][person:don m 6-6][person:dennis m 11-11][person:don m 13-13][person:dennis m 17-17][location:place s 18-18][person:dennis m 20-20]
don| I think you mixed him with Mrs Johnson as she prefers more into PowerPoint presentation| [person:don m 0-0][person:dennis m 2-2][person:mr__martins m 4-4][person:mrs__johnson f 7-7][person:mrs__johnson f 9-9]
don| I will see you within an hour| [person:don m 0-0][person:dennis m 3-3]
